epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4399,1.11939,2.45582,1.4606,1.44163,0.86364,0.6129,0.7755,0.35101,0.90909,0.64516,0.84389,0.40983,1.5984,4.47121,9.54888,2.50077,0.00065641,0.00065641,0.00065641
2,26.1928,1.24976,1.931,1.15502,1.43778,0.37015,0.73937,0.54161,0.26861,0.33785,0.67486,0.51958,0.17407,1.53761,21.9187,14.3986,2.35582,0.00130125,0.00130125,0.00130125
3,38.9583,1.19391,1.95557,1.01546,1.41117,0.70734,0.45161,0.56125,0.35199,0.67838,0.51613,0.59814,0.3972,1.61435,2.40366,2.63418,2.14332,0.00192408,0.00192408,0.00192408
4,51.78,1.25391,1.87604,0.97679,1.42321,0.86649,0.83744,0.86409,0.60132,0.83114,0.79416,0.84724,0.48837,1.06026,2.30074,1.32015,1.47792,0.001901,0.001901,0.001901
5,64.7327,1.13281,1.83607,0.93247,1.37891,0.12041,0.80645,0.11406,0.08256,0.12041,0.80645,0.11334,0.0808,0.99811,1.54359,16.251,1.45426,0.001868,0.001868,0.001868
6,77.5553,1.07961,1.69882,0.87616,1.35161,0.93531,0.93284,0.92807,0.75353,0.93531,0.93284,0.92766,0.65495,0.88334,2.11257,2.33144,1.28055,0.001835,0.001835,0.001835
7,90.5097,1.01797,1.62824,0.79269,1.30918,0.99492,0.96774,0.96509,0.73916,0.99492,0.96774,0.96509,0.6675,0.90047,1.35394,1.0219,1.33757,0.001802,0.001802,0.001802
8,103.35,1.00499,1.65294,0.76112,1.31802,0.92469,0.96774,0.95584,0.73233,0.92469,0.96774,0.95584,0.67672,0.91967,1.85681,1.04132,1.32633,0.001769,0.001769,0.001769
9,116.273,0.92544,1.56356,0.72475,1.25057,0.99672,0.96774,0.96562,0.79872,0.99672,0.96774,0.96562,0.7867,0.69115,1.47808,0.45632,1.15262,0.001736,0.001736,0.001736
10,129.219,0.831,1.4091,0.63806,1.19679,0.93457,0.96774,0.96343,0.81538,0.93457,0.96774,0.96343,0.72738,0.69767,1.5999,0.71313,1.15122,0.001703,0.001703,0.001703
11,142.027,0.8479,1.43221,0.68368,1.19988,0.99626,0.96774,0.96559,0.79905,0.99626,0.96774,0.96559,0.77286,0.71648,1.06386,0.50915,1.13979,0.00167,0.00167,0.00167
12,154.91,0.80858,1.34441,0.66598,1.18468,0.99657,0.96774,0.96521,0.83323,0.99657,0.96774,0.96521,0.75512,0.56945,1.74093,0.44538,1.08729,0.001637,0.001637,0.001637
13,167.889,0.78212,1.285,0.65263,1.19124,0.99488,0.96774,0.96554,0.84519,0.99488,0.96774,0.96554,0.84026,0.55508,1.17747,0.75068,1.03998,0.001604,0.001604,0.001604
14,180.852,0.74362,1.20149,0.61703,1.15954,0.99923,0.96774,0.96543,0.84149,0.99923,0.96774,0.96543,0.81373,0.5226,1.16404,0.46571,1.01907,0.001571,0.001571,0.001571
15,193.69,0.78042,1.2343,0.62899,1.18265,0.99638,0.96774,0.96622,0.83007,0.99638,0.96774,0.96622,0.80722,0.60889,1.00823,0.43156,1.08585,0.001538,0.001538,0.001538
16,207.062,0.73924,1.22912,0.6332,1.14156,0.98608,0.90323,0.94723,0.87042,0.98608,0.90323,0.94723,0.81929,0.46014,1.28277,0.42217,0.96824,0.001505,0.001505,0.001505
17,221.792,0.65734,1.05816,0.54956,1.09343,0.99805,0.96774,0.96604,0.87736,0.99805,0.96774,0.96604,0.83634,0.51379,1.1051,0.36744,1.03826,0.001472,0.001472,0.001472
18,236.596,0.68376,1.06949,0.53999,1.12077,0.99317,0.96774,0.96593,0.86881,0.99317,0.96774,0.96593,0.8571,0.52361,1.20462,0.38131,1.02168,0.001439,0.001439,0.001439
19,251.152,0.67391,1.09991,0.56418,1.11186,0.99768,0.96774,0.96587,0.87417,0.99768,0.96774,0.96587,0.86171,0.46004,1.06593,0.37349,0.9687,0.001406,0.001406,0.001406
20,265.445,0.65792,1.04251,0.5482,1.0955,0.99781,0.96774,0.96578,0.87913,0.99781,0.96774,0.96578,0.84573,0.44233,0.73989,0.35059,0.99459,0.001373,0.001373,0.001373
21,279.717,0.62162,1.08847,0.53335,1.0915,0.9905,0.96774,0.96597,0.83415,0.9905,0.96774,0.96597,0.81926,0.54097,1.00921,0.42591,1.05855,0.00134,0.00134,0.00134
22,293.835,0.5815,0.88008,0.48909,1.04239,0.99743,0.96774,0.96667,0.88463,0.99743,0.96774,0.96667,0.87443,0.42736,0.82415,0.32349,0.9523,0.001307,0.001307,0.001307
23,308.118,0.59131,0.9598,0.49079,1.05876,0.99781,0.96774,0.96815,0.87379,0.99781,0.96774,0.96815,0.85209,0.4672,0.84011,0.34149,1.00007,0.001274,0.001274,0.001274
24,322.253,0.56936,0.92515,0.48723,1.04864,0.99811,0.96774,0.96786,0.896,0.99811,0.96774,0.96786,0.92355,0.39223,0.79004,0.29804,0.92312,0.001241,0.001241,0.001241
25,336.751,0.58512,0.88695,0.48134,1.04564,0.99707,0.96774,0.96705,0.90051,0.99707,0.96774,0.96705,0.905,0.39605,0.82215,0.32695,0.91831,0.001208,0.001208,0.001208
26,350.933,0.55256,0.86491,0.46658,1.03735,0.99695,0.96774,0.96558,0.89053,0.99695,0.96774,0.96558,0.87485,0.37222,0.77929,0.30533,0.91576,0.001175,0.001175,0.001175
27,365.671,0.57697,0.90151,0.46953,1.06248,0.99217,0.96774,0.96696,0.90921,0.99217,0.96774,0.96696,0.89312,0.40431,0.7399,0.31849,0.94019,0.001142,0.001142,0.001142
28,380.412,0.53573,0.83585,0.45932,1.03205,0.99714,0.96774,0.96619,0.89994,0.99714,0.96774,0.96619,0.90022,0.40987,0.61674,0.32135,0.94355,0.001109,0.001109,0.001109
29,394.398,0.5639,0.85633,0.48348,1.05888,0.99545,0.96774,0.96613,0.87499,0.99545,0.96774,0.96613,0.85848,0.43251,0.87455,0.47264,1.01256,0.001076,0.001076,0.001076
30,407.255,0.56021,0.81461,0.46641,1.02382,0.99749,0.96774,0.96602,0.91324,0.99749,0.96774,0.96602,0.91687,0.37853,0.8319,0.33054,0.90527,0.001043,0.001043,0.001043
31,420.337,0.51728,0.74499,0.43,1.01519,0.9973,0.96774,0.968,0.90872,0.9973,0.96774,0.968,0.91106,0.36924,0.57385,0.28075,0.91462,0.00101,0.00101,0.00101
32,433.738,0.52123,0.80108,0.43885,1.023,0.99763,0.96774,0.96702,0.88446,0.99763,0.96774,0.96702,0.87126,0.36603,0.84034,0.29242,0.97411,0.000977,0.000977,0.000977
