epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4253,1.14808,2.43174,1.528,1.53431,0.34568,0.90323,0.42388,0.26628,0.34568,0.90323,0.42438,0.2629,1.14248,4.29282,22.9245,2.23897,0.00065641,0.00065641,0.00065641
2,26.3981,1.24457,1.97502,1.2295,1.57872,0.04762,0.48387,0.03304,0.01546,0.06032,0.6129,0.06598,0.01795,2.44052,62.0437,104.152,6.60189,0.00130125,0.00130125,0.00130125
3,39.3527,1.27941,2.06381,1.16347,1.60684,0.08707,0.32258,0.06764,0.01543,0.26471,0.29032,0.18201,0.0754,2.91257,9.50039,28.4756,5.78068,0.00192408,0.00192408,0.00192408
4,52.4908,1.21751,1.90562,1.06406,1.5401,0.78131,0.74194,0.78611,0.5606,0.74509,0.70968,0.71766,0.42743,1.14191,5.57571,2.72549,1.74106,0.001901,0.001901,0.001901
5,65.5619,1.09532,1.81188,0.8936,1.46177,0.75988,0.91896,0.87512,0.66932,0.75988,0.91896,0.87512,0.60888,0.87843,1.79143,1.03504,1.32894,0.001868,0.001868,0.001868
6,78.6353,1.09405,1.75656,0.84663,1.45761,0.95612,0.83871,0.92285,0.73327,0.95612,0.83871,0.92285,0.65431,0.78252,1.42038,1.18049,1.24249,0.001835,0.001835,0.001835
7,91.7222,1.00983,1.69665,0.8133,1.39849,0.96621,0.92258,0.93178,0.71304,0.96621,0.92258,0.93178,0.68887,0.89047,1.80072,2.6718,1.31132,0.001802,0.001802,0.001802
8,104.763,0.95769,1.71627,0.77135,1.36549,0.99676,0.96774,0.96541,0.75739,0.99676,0.96774,0.96541,0.68951,0.8149,1.63245,0.64032,1.24342,0.001769,0.001769,0.001769
9,117.864,0.89905,1.68819,0.73797,1.30457,0.99792,0.96774,0.96545,0.80863,0.99792,0.96774,0.96545,0.76533,0.65294,1.54751,0.53398,1.12349,0.001736,0.001736,0.001736
10,130.928,0.91885,1.60589,0.72071,1.3369,0.98943,0.93548,0.96396,0.81548,0.98943,0.93548,0.96396,0.7508,0.67504,1.25283,0.51189,1.1523,0.001703,0.001703,0.001703
11,143.871,0.89406,1.57828,0.71437,1.31511,0.96695,0.94398,0.96453,0.842,0.96695,0.94398,0.96453,0.75629,0.67623,1.27049,0.65516,1.14115,0.00167,0.00167,0.00167
12,156.992,0.86691,1.51967,0.6901,1.29808,0.96124,0.96774,0.96033,0.81039,0.96124,0.96774,0.96033,0.74677,0.64137,1.21326,0.59849,1.13074,0.001637,0.001637,0.001637
13,169.919,0.81124,1.45376,0.64452,1.24416,0.99812,0.96774,0.96541,0.81392,0.99812,0.96774,0.96541,0.78054,0.67032,1.06156,0.49207,1.11536,0.001604,0.001604,0.001604
14,182.912,0.85307,1.49142,0.68164,1.27334,0.99313,0.93548,0.96332,0.81835,0.99313,0.93548,0.96332,0.71366,0.6204,1.29388,0.78793,1.11584,0.001571,0.001571,0.001571
15,196.529,0.79308,1.35244,0.66476,1.23188,0.99749,0.96774,0.96634,0.87664,0.99749,0.96774,0.96634,0.82874,0.48621,0.8803,0.44161,0.99841,0.001538,0.001538,0.001538
16,209.83,0.77477,1.3843,0.62902,1.22073,0.9634,0.96774,0.96434,0.83737,0.9634,0.96774,0.96434,0.81575,0.56823,1.16809,0.68097,1.06408,0.001505,0.001505,0.001505
17,222.858,0.74832,1.33041,0.6035,1.21596,0.99585,0.96774,0.9655,0.84026,0.99585,0.96774,0.9655,0.82719,0.57557,1.1198,0.48199,1.10503,0.001472,0.001472,0.001472
18,236.013,0.76365,1.33819,0.61172,1.21307,0.99841,0.96774,0.96627,0.85872,0.99841,0.96774,0.96627,0.85066,0.55485,1.08026,0.41886,1.07867,0.001439,0.001439,0.001439
